1,3038866707199
2,3166867301552
3,1583433650777
4,1656682066747
10,3313364133492
15,1684029324145
23,3368058648288
16,3120247661467
28,2558998838413
9,3377122369560
31,2574676633543
27,3083697645052
11,2997263513922
7,3019950682826
30,3042529235415
20,2162739039202
5,3244108558800
14,2668309879765
25,2503656880335
21,1081369519602
12,2521009569411
29,3249646347719
17,3204334672844
19,2608245333543
24,2627885325517
26,1506557379823
13,3013114759644
8,1473009146918
0,2946018293834
32,1680673046273
18,3361346092544
22,1680673046276
6,840336523139
