12,4044803653735624172905
22,3938806095499010478295
17,4045407451455569690750
14,3938806095499010478295
13,4045407451455569690750
19,3936377544199587288915
24,3547729069359702448720
18,4045896948490092817626
23,3936377544199587288915
2,3938806095499010478295
7,4045407451455569690750
10,3938806095499010478295
11,4045407451455569690750
0,3547729069359702448720
1,3936377544199587288915
6,4045896948490092817626
5,3936377544199587288915
8,4045896948490092817626
3,3936377544199587288915
9,3936377544199587288915
4,3547729069359702448720
16,4045896948490092817626
15,3936377544199587288915
21,3936377544199587288915
20,3547729069359702448720
